Location,Scene,Offence,Year,Measure,Value,Flags
"Waitemata District","Total Scene","Property damage and environmental pollution","2007","Recorded",3953,
"Waitemata District","Total Scene","Property damage and environmental pollution","2008","Recorded",3941,
"Waitemata District","Total Scene","Property damage and environmental pollution","2009","Recorded",3872,
"Waitemata District","Total Scene","Property damage and environmental pollution","2010","Recorded",3639,
"Waitemata District","Total Scene","Fraud, deception and related offences","1994","Recorded",1765,
"Waitemata District","Total Scene","Fraud, deception and related offences","1995","Recorded",2522,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2002","Recorded",1805,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2003","Recorded",2070,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2004","Recorded",1847,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2005","Recorded",1683,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2006","Recorded",2138,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2007","Recorded",2406,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2008","Recorded",2741,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2009","Recorded",3378,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2010","Recorded",2616,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2011","Recorded",2392,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2012","Recorded",2197,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1990,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",2164,
"Waitemata District","Total Scene","Fraud, deception and related offences","1996","Recorded",3158,
"Waitemata District","Total Scene","Fraud, deception and related offences","1997","Recorded",3085,
"Waitemata District","Total Scene","Fraud, deception and related offences","1998","Recorded",1954,
"Waitemata District","Total Scene","Fraud, deception and related offences","1999","Recorded",2198,
"Waitemata District","Total Scene","Fraud, deception and related offences","2000","Recorded",2797,
"Waitemata District","Total Scene","Fraud, deception and related offences","2001","Recorded",2431,
"Waitemata District","Total Scene","Fraud, deception and related offences","2002","Recorded",2811,
"Waitemata District","Total Scene","Miscellaneous offences","2001","Recorded",228,
"Waitemata District","Total Scene","Miscellaneous offences","2002","Recorded",247,
"Waitemata District","Total Scene","Miscellaneous offences","2003","Recorded",146,
"Waitemata District","Total Scene","Miscellaneous offences","2004","Recorded",78,
"Waitemata District","Total Scene","Miscellaneous offences","2005","Recorded",69,
"Waitemata District","Total Scene","Miscellaneous offences","2006","Recorded",71,
"Waitemata District","Total Scene","Miscellaneous offences","2007","Recorded",101,
"Waitemata District","Total Scene","Miscellaneous offences","2008","Recorded",108,
"Waitemata District","Total Scene","Miscellaneous offences","2009","Recorded",105,
"Waitemata District","Total Scene","Miscellaneous offences","2010","Recorded",106,
"Waitemata District","Total Scene","Miscellaneous offences","2011","Recorded",92,
"Waitemata District","Total Scene","Miscellaneous offences","2012","Recorded",77,
"Waitemata District","Total Scene","Miscellaneous offences","2013","Recorded",101,
"Waitemata District","Total Scene","Miscellaneous offences","2014","Recorded",90,
"Waitemata District","Total Scene","Fraud, deception and related offences","2003","Recorded",2542,
"Waitemata District","Total Scene","Fraud, deception and related offences","2004","Recorded",1796,
"Waitemata District","Total Scene","Fraud, deception and related offences","2005","Recorded",1445,
"Waitemata District","Total Scene","Fraud, deception and related offences","2006","Recorded",1778,
"Waitemata District","Total Scene","Fraud, deception and related offences","2007","Recorded",1478,
"Waitemata District","Total Scene","Fraud, deception and related offences","2008","Recorded",1525,
"Waitemata District","Total Scene","Fraud, deception and related offences","2009","Recorded",1237,
"Waitemata District","Total Scene","Fraud, deception and related offences","2010","Recorded",1079,
"Waitemata District","Total Scene","Fraud, deception and related offences","2011","Recorded",838,
"Waitemata District","Total Scene","Fraud, deception and related offences","2012","Recorded",887,
"Waitemata District","Total Scene","Fraud, deception and related offences","2013","Recorded",929,
"Waitemata District","Total Scene","Fraud, deception and related offences","2014","Recorded",933,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","1994","Recorded",430,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","1995","Recorded",462,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","1996","Recorded",469,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","1997","Recorded",537,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","1998","Recorded",468,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","1999","Recorded",545,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2000","Recorded",591,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2001","Recorded",603,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2002","Recorded",537,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2003","Recorded",656,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2004","Recorded",735,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2005","Recorded",759,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2006","Recorded",800,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2007","Recorded",910,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2008","Recorded",706,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2009","Recorded",814,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2010","Recorded",589,
"Waitemata District","Total Scene","Public order offences","1998","Recorded",3140,
"Waitemata District","Total Scene","Public order offences","1999","Recorded",3475,
"Waitemata District","Total Scene","Public order offences","2000","Recorded",3578,
"Waitemata District","Total Scene","Public order offences","2001","Recorded",3555,
"Waitemata District","Total Scene","Public order offences","2002","Recorded",4112,
"Waitemata District","Total Scene","Public order offences","2003","Recorded",3822,
"Waitemata District","Total Scene","Public order offences","2004","Recorded",3689,
"Waitemata District","Total Scene","Public order offences","2012","Recorded",2359,
"Waitemata District","Total Scene","Public order offences","2013","Recorded",2263,
"Waitemata District","Total Scene","Public order offences","2014","Recorded",2066,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","1994","Recorded",576,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","1995","Recorded",548,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","1996","Recorded",730,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","1997","Recorded",913,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","1998","Recorded",1003,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","1999","Recorded",1100,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2000","Recorded",1501,
"Waitemata District","Total Scene","Public order offences","1994","Recorded",2263,
"Waitemata District","Total Scene","Public order offences","1995","Recorded",2608,
"Waitemata District","Total Scene","Public order offences","1996","Recorded",2509,
"Waitemata District","Total Scene","Public order offences","1997","Recorded",2910,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2001","Recorded",1580,
"Waitemata District","Total Scene","Miscellaneous offences","1994","Recorded",89,
"Waitemata District","Total Scene","Miscellaneous offences","1995","Recorded",80,
"Waitemata District","Total Scene","Miscellaneous offences","1996","Recorded",94,
"Waitemata District","Total Scene","Miscellaneous offences","1997","Recorded",109,
"Waitemata District","Total Scene","Miscellaneous offences","1998","Recorded",135,
"Waitemata District","Total Scene","Miscellaneous offences","1999","Recorded",156,
"Waitemata District","Total Scene","Miscellaneous offences","2000","Recorded",231,
"Waitemata District","Total Scene","Acts intended to cause injury","2003","Resolved",2859,
"Waitemata District","Total Scene","Sexual assault and related offences","2011","Resolved",203,
"Waitemata District","Total Scene","Sexual assault and related offences","2012","Resolved",153,
"Waitemata District","Total Scene","Sexual assault and related offences","2013","Resolved",221,
"Waitemata District","Total Scene","Sexual assault and related offences","2014","Resolved",140,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","1994","Resolved",38,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","1995","Resolved",40,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","1996","Resolved",61,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","1997","Resolved",44,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","1998","Resolved",63,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","1999","Resolved",40,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2000","Resolved",48,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2001","Resolved",57,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2002","Resolved",61,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2003","Resolved",89,
